,zipcode,city,state,country
0,00501,Holtsville,NY,US
1,00544,Holtsville,NY,US
2,00601,Adjuntas,PR,US
3,00602,Aguada,PR,US
4,00603,Aguadilla,PR,US
5,00604,Aguadilla,PR,US
6,00605,Aguadilla,PR,US
7,00606,Maricao,PR,US
8,00610,Anasco,PR,US
9,00611,Angeles,PR,US
10,00612,Arecibo,PR,US
11,00613,Arecibo,PR,US
12,00614,Arecibo,PR,US
13,00616,Bajadero,PR,US
14,00617,Barceloneta,PR,US
15,00622,Boqueron,PR,US
16,00623,Cabo Rojo,PR,US
17,00624,Penuelas,PR,US
18,00627,Camuy,PR,US
19,00631,Castaner,PR,US
20,00636,Rosario,PR,US
21,00637,Sabana Grande,PR,US
22,00638,Ciales,PR,US
23,00641,Utuado,PR,US
24,00646,Dorado,PR,US
25,00647,Ensenada,PR,US
26,00650,Florida,PR,US
27,00652,Garrochales,PR,US
28,00653,Guanica,PR,US
29,00656,Guayanilla,PR,US
30,00659,Hatillo,PR,US
31,00660,Hormigueros,PR,US
32,00662,Isabela,PR,US
33,00664,Jayuya,PR,US
34,00667,Lajas,PR,US
35,00669,Lares,PR,US
36,00670,Las Marias,PR,US
37,00674,Manati,PR,US
38,00676,Moca,PR,US
39,00677,Rincon,PR,US
40,00678,Quebradillas,PR,US
41,00680,Mayaguez,PR,US
42,00681,Mayaguez,PR,US
43,00682,Mayaguez,PR,US
44,00683,San German,PR,US
45,00685,San Sebastian,PR,US
46,00687,Morovis,PR,US
47,00688,Sabana Hoyos,PR,US
48,00690,San Antonio,PR,US
49,00692,Vega Alta,PR,US
50,00693,Vega Baja,PR,US
51,00694,Vega Baja,PR,US
52,00698,Yauco,PR,US
53,00703,Aguas Buenas,PR,US
54,00704,Aguirre,PR,US
55,00705,Aibonito,PR,US
56,00707,Maunabo,PR,US
57,00714,Arroyo,PR,US
58,00715,Mercedita,PR,US
59,00716,Ponce,PR,US
60,00717,Ponce,PR,US
61,00718,Naguabo,PR,US
62,00719,Naranjito,PR,US
63,00720,Orocovis,PR,US
64,00721,Palmer,PR,US
65,00723,Patillas,PR,US
66,00725,Caguas,PR,US
67,00726,Caguas,PR,US
68,00727,Caguas,PR,US
69,00728,Ponce,PR,US
70,00729,Canovanas,PR,US
71,00730,Ponce,PR,US
72,00731,Ponce,PR,US
73,00732,Ponce,PR,US
74,00733,Ponce,PR,US
75,00734,Ponce,PR,US
76,00735,Ceiba,PR,US
77,00736,Cayey,PR,US
78,00737,Cayey,PR,US
79,00738,Fajardo,PR,US
80,00739,Cidra,PR,US
81,00740,Puerto Real,PR,US
82,00741,Punta Santiago,PR,US
83,00742,Roosevelt Roads,PR,US
84,00744,Rio Blanco,PR,US
85,00745,Rio Grande,PR,US
86,00751,Salinas,PR,US
87,00754,San Lorenzo,PR,US
88,00757,Santa Isabel,PR,US
89,00765,Vieques,PR,US
90,00766,Villalba,PR,US
91,00767,Yabucoa,PR,US
92,00769,Coamo,PR,US
93,00771,Las Piedras,PR,US
94,00772,Loiza,PR,US
95,00773,Luquillo,PR,US
96,00775,Culebra,PR,US
97,00777,Juncos,PR,US
98,00778,Gurabo,PR,US
99,00780,Coto Laurel,PR,US
100,00782,Comerio,PR,US
101,00783,Corozal,PR,US
102,00784,Guayama,PR,US
103,00785,Guayama,PR,US
104,00786,La Plata,PR,US
105,00791,Humacao,PR,US
106,00792,Humacao,PR,US
107,00794,Barranquitas,PR,US
108,00795,Juana Diaz,PR,US
109,00801,St Thomas,VI,US
110,00802,St Thomas,VI,US
111,00803,St Thomas,VI,US
112,00804,St Thomas,VI,US
113,00805,St Thomas,VI,US
114,00820,Christiansted,VI,US
115,00821,Christiansted,VI,US
116,00822,Christiansted,VI,US
117,00823,Christiansted,VI,US
118,00824,Christiansted,VI,US
119,00830,St John,VI,US
120,00831,St John,VI,US
121,00840,Frederiksted,VI,US
122,00841,Frederiksted,VI,US
123,00850,Kingshill,VI,US
124,00851,Kingshill,VI,US
125,00901,San Juan,PR,US
126,00902,San Juan,PR,US
127,00906,San Juan,PR,US
128,00907,San Juan,PR,US
129,00908,San Juan,PR,US
130,00909,San Juan,PR,US
131,00910,San Juan,PR,US
132,00911,San Juan,PR,US
133,00912,San Juan,PR,US
134,00913,San Juan,PR,US
135,00914,San Juan,PR,US
136,00915,San Juan,PR,US
137,00916,San Juan,PR,US
138,00917,San Juan,PR,US
139,00918,San Juan,PR,US
140,00919,San Juan,PR,US
141,00920,San Juan,PR,US
142,00921,San Juan,PR,US
143,00922,San Juan,PR,US
144,00923,San Juan,PR,US
145,00924,San Juan,PR,US
146,00925,San Juan,PR,US
147,00926,San Juan,PR,US
148,00927,San Juan,PR,US
149,00928,San Juan,PR,US
150,00929,San Juan,PR,US
151,00930,San Juan,PR,US
152,00931,San Juan,PR,US
153,00933,San Juan,PR,US
154,00934,Fort Buchanan,PR,US
155,00935,San Juan,PR,US
156,00936,San Juan,PR,US
157,00937,San Juan,PR,US
158,00939,San Juan,PR,US
159,00940,San Juan,PR,US
160,00949,Toa Baja,PR,US
161,00950,Toa Baja,PR,US
162,00951,Toa Baja,PR,US
163,00952,Sabana Seca,PR,US
164,00953,Toa Alta,PR,US
165,00954,Toa Alta,PR,US
166,00955,San Juan,PR,US
167,00956,Bayamon,PR,US
168,00957,Bayamon,PR,US
169,00958,Bayamon,PR,US
170,00959,Bayamon,PR,US
171,00960,Bayamon,PR,US
172,00961,Bayamon,PR,US
173,00962,Catano,PR,US
174,00963,Catano,PR,US
175,00965,Guaynabo,PR,US
176,00966,Guaynabo,PR,US
177,00968,Guaynabo,PR,US
178,00969,Guaynabo,PR,US
179,00970,Guaynabo,PR,US
180,00971,Guaynabo,PR,US
181,00975,San Juan,PR,US
182,00976,Trujillo Alto,PR,US
183,00977,Trujillo Alto,PR,US
184,00978,Saint Just,PR,US
185,00979,Carolina,PR,US
186,00981,Carolina,PR,US
187,00982,Carolina,PR,US
188,00983,Carolina,PR,US
189,00984,Carolina,PR,US
190,00985,Carolina,PR,US
191,00986,Carolina,PR,US
192,00987,Carolina,PR,US
193,00988,Carolina,PR,US
194,01001,Agawam,MA,US
195,01002,Amherst,MA,US
196,01003,Amherst,MA,US
197,01004,Amherst,MA,US
198,01005,Barre,MA,US
199,01007,Belchertown,MA,US
200,01008,Blandford,MA,US
201,01009,Bondsville,MA,US
202,01010,Brimfield,MA,US
203,01011,Chester,MA,US
204,01012,Chesterfield,MA,US
205,01013,Chicopee,MA,US
206,01014,Chicopee,MA,US
207,01020,Chicopee,MA,US
208,01021,Chicopee,MA,US
209,01022,Chicopee,MA,US
210,01026,Cummington,MA,US
211,01027,Easthampton,MA,US
212,01028,East Longmeadow,MA,US
213,01029,East Otis,MA,US
214,01030,Feeding Hills,MA,US
215,01031,Gilbertville,MA,US
216,01032,Goshen,MA,US
217,01033,Granby,MA,US
218,01034,Granville,MA,US
219,01035,Hadley,MA,US
220,01036,Hampden,MA,US
221,01037,Hardwick,MA,US
222,01038,Hatfield,MA,US
223,01039,Haydenville,MA,US
224,01040,Holyoke,MA,US
225,01041,Holyoke,MA,US
226,01050,Huntington,MA,US
227,01053,Leeds,MA,US
228,01054,Leverett,MA,US
229,01056,Ludlow,MA,US
230,01057,Monson,MA,US
231,01059,North Amherst,MA,US
232,01060,Northampton,MA,US
233,01061,Northampton,MA,US
234,01062,Florence,MA,US
235,01063,Northampton,MA,US
236,01066,North Hatfield,MA,US
237,01068,Oakham,MA,US
238,01069,Palmer,MA,US
239,01070,Plainfield,MA,US
240,01071,Russell,MA,US
241,01072,Shutesbury,MA,US
242,01073,Southampton,MA,US
243,01074,South Barre,MA,US
244,01075,South Hadley,MA,US
245,01077,Southwick,MA,US
246,01079,Thorndike,MA,US
247,01080,Three Rivers,MA,US
248,01081,Wales,MA,US
249,01082,Ware,MA,US
250,01083,Warren,MA,US
251,01084,West Chesterfield,MA,US
252,01085,Westfield,MA,US
253,01086,Westfield,MA,US
254,01088,West Hatfield,MA,US
255,01089,West Springfield,MA,US
256,01090,West Springfield,MA,US
257,01092,West Warren,MA,US
258,01093,Whately,MA,US
259,01094,Wheelwright,MA,US
260,01095,Wilbraham,MA,US
261,01096,Williamsburg,MA,US
262,01097,Woronoco,MA,US
263,01098,Worthington,MA,US
264,01101,Springfield,MA,US
265,01102,Springfield,MA,US
266,01103,Springfield,MA,US
267,01104,Springfield,MA,US
268,01105,Springfield,MA,US
269,01106,Longmeadow,MA,US
270,01107,Springfield,MA,US
271,01108,Springfield,MA,US
272,01109,Springfield,MA,US
273,01111,Springfield,MA,US
274,01115,Springfield,MA,US
275,01116,Longmeadow,MA,US
276,01118,Springfield,MA,US
277,01119,Springfield,MA,US
278,01128,Springfield,MA,US
279,01129,Springfield,MA,US
280,01133,Springfield,MA,US
281,01138,Springfield,MA,US
282,01139,Springfield,MA,US
283,01144,Springfield,MA,US
284,01151,Indian Orchard,MA,US
285,01152,Springfield,MA,US
286,01195,Springfield,MA,US
287,01199,Springfield,MA,US
288,01201,Pittsfield,MA,US
289,01202,Pittsfield,MA,US
290,01203,Pittsfield,MA,US
291,01220,Adams,MA,US
292,01222,Ashley Falls,MA,US
293,01223,Becket,MA,US
294,01224,Berkshire,MA,US
295,01225,Cheshire,MA,US
296,01226,Dalton,MA,US
297,01227,Dalton,MA,US
298,01229,Glendale,MA,US
299,01230,Great Barrington,MA,US
300,01235,Hinsdale,MA,US
301,01236,Housatonic,MA,US
302,01237,Lanesborough,MA,US
303,01238,Lee,MA,US
304,01240,Lenox,MA,US
305,01242,Lenox Dale,MA,US
306,01243,Middlefield,MA,US
307,01244,Mill River,MA,US
308,01245,Monterey,MA,US
309,01247,North Adams,MA,US
310,01252,North Egremont,MA,US
311,01253,Otis,MA,US
312,01254,Richmond,MA,US
313,01255,Sandisfield,MA,US
314,01256,Savoy,MA,US
315,01257,Sheffield,MA,US
316,01258,South Egremont,MA,US
317,01259,Southfield,MA,US
318,01260,South Lee,MA,US
319,01262,Stockbridge,MA,US
320,01263,Stockbridge,MA,US
321,01264,Tyringham,MA,US
322,01266,West Stockbridge,MA,US
323,01267,Williamstown,MA,US
324,01270,Windsor,MA,US
325,01301,Greenfield,MA,US
326,01302,Greenfield,MA,US
327,01330,Ashfield,MA,US
328,01331,Athol,MA,US
329,01337,Bernardston,MA,US
330,01338,Buckland,MA,US
331,01339,Charlemont,MA,US
332,01340,Colrain,MA,US
333,01341,Conway,MA,US
334,01342,Deerfield,MA,US
335,01343,Drury,MA,US
336,01344,Erving,MA,US
337,01346,Heath,MA,US
338,01347,Lake Pleasant,MA,US
339,01349,Millers Falls,MA,US
340,01350,Monroe Bridge,MA,US
341,01351,Montague,MA,US
342,01354,Gill,MA,US
343,01355,New Salem,MA,US
344,01360,Northfield,MA,US
345,01364,Orange,MA,US
346,01366,Petersham,MA,US
347,01367,Rowe,MA,US
348,01368,Royalston,MA,US
