,ISBN,genres
0,0195153448,"Mythology, History, Classics, Nonfiction, Reference, Textbooks, Religion"
1,0002005018,"Fiction, Canada, Historical Fiction, Literary Fiction, Canadian Literature, Historical, Novels"
2,0060973129,"History, World War II, Nonfiction, Military History, War, Military Fiction, World History"
3,0374157065,"History, Nonfiction, Science, Medical, Medicine, Health, Disease"
4,0393045218,"History, Archaeology, Nonfiction, China, Anthropology, Asia, Ancient History"
5,0399135782,"Fiction, Historical Fiction, China, Asia, Contemporary, Asian Literature, Novels"
6,0425176428,"History, Nonfiction, Alternate History, Military Fiction, Military History, War, Essays"
7,0671870432,"Fiction, Mystery, Legal Thriller, Thriller, Crime, Mystery Thriller, Suspense"
8,0679425608,"History, Nonfiction, Pirates, Historical, Adventure, World History, Research"
9,074322678X,"Short Stories, Fiction, Literature, Anthologies, American, 20th Century, School"
10,0771074670,"Fiction, Canada, Canadian Literature, Literary Fiction, Novels"
11,080652121X,"History, Nonfiction, Holocaust"
12,0887841740,"Short Stories, Fiction, Canada, Literature, Humor, Literary Fiction, Womens"
13,1552041778,[]
14,1558746218,"Nonfiction, Inspirational, Self Help, Short Stories, Adult, Womens, Religion"
15,1567407781,"Mystery, Fiction, Crime"
16,1575663937,"Nonfiction, History"
17,1881320189,[]
18,0440234743,"Fiction, Thriller, Mystery, Legal Thriller, Suspense, Crime, Mystery Thriller"
19,0452264464,"Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, African American"
20,0609804618,"Humor, Fiction, Comedy, Politics, Reference, Historical Fiction, Journalism"
21,1841721522,"Cookbooks, Reference, Food, Vegetarian"
22,1879384493,[]
23,0061076031,"Middle Grade, Childrens, Fiction"
24,0439095026,"Childrens, Nonfiction"
25,0689821166,"Historical Fiction, Middle Grade, Childrens, Fiction, Adventure"
26,0971880107,"Fiction, Fantasy, Novels, Adult Fiction, Audiobook, Outdoors"
27,0345402871,"Fiction, Thriller, Mystery, Science Fiction, Suspense, Mystery Thriller, Adventure"
28,0345417623,"Science Fiction, Fiction, Thriller, Time Travel, Historical Fiction, Fantasy, Adventure"
29,0684823802,"Science Fiction, Fiction, Fantasy, Classics, Christian, Christian Fiction, Science Fiction Fantasy"
30,0375759778,"Fiction, Historical Fiction, Hungary, Travel, Literature, Novels, Historical"
31,0425163091,Fiction
32,3404921038,"Fiction, Canada, Contemporary, Canadian Literature, Humor, Novels, Classics"
33,3442353866,[]
34,3442410665,"Historical Fiction, German Literature, Fiction, Historical, Romance, Historical Romance, War"
35,3442446937,[]
36,0375406328,"Fiction, Religion, Spirituality, Literature, Contemporary, Novels, Literary Fiction"
37,0446310786,"Classics, Fiction, Historical Fiction, School, Literature, Young Adult, Historical"
38,0449005615,"Nonfiction, History, Biography, Sports, Animals, Horses, Historical"
39,0060168013,"Fiction, Contemporary, Literary Fiction, Adult Fiction, Novels, Literature, Adult"
40,038078243X,"Mystery, Cozy Mystery, Fiction"
41,055321215X,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Novels"
42,067176537X,[]
43,0061099686,"Fiction, Southern, Chick Lit, Historical Fiction, Romance, Womens Fiction, Womens"
44,0553582909,"Horror, Fiction, Thriller, Suspense, Mystery, Adventure, Mystery Thriller"
45,0671888587,"Mystery, Fiction, Suspense, Thriller, Mystery Thriller, Crime, Adult"
46,0553582747,"Horror, Fiction, Thriller, Suspense, Mystery, Fantasy, Mystery Thriller"
47,0425182908,"Mystery, Fiction, Crime, Thriller, Suspense, Mystery Thriller, Detective"
48,042518630X,"Mystery, Romance, Crime, Fiction, Romantic Suspense, Futuristic, Suspense"
49,0440223571,"Fiction, Short Stories, Christmas, Romance, Chick Lit, Ireland, Irish Literature"
50,0812523873,"Science Fiction, Fiction, Speculative Fiction"
51,0842342702,"Fiction, Christian, Christian Fiction, Fantasy, Religion, Thriller, Christianity"
52,0440225701,"Fiction, Thriller, Mystery, Legal Thriller, Crime, Suspense, Law"
53,0060914068,"Health, Nonfiction, Self Help, Spirituality, Psychology, Medicine, Medical"
54,0156047624,"Fiction, Classics, Historical Fiction, Politics, Literature, Novels, American"
55,0245542957,[]
56,0380715899,"Fiction, Historical Fiction, War, Italy, World War I, Historical, Literature"
57,0553280333,"Health, Self Help, Psychology, Nonfiction"
58,0961769947,[]
59,0964778319,[]
60,0671623249,"Fiction, Historical Fiction, Westerns, Classics, Historical, Adventure, Novels"
61,0679810307,"Young Adult, Fiction, Historical Fiction, Pakistan, Realistic Fiction, Historical, Cultural"
62,0679865691,"Young Adult, Fiction, Historical Fiction, Pakistan, Teen, Cultural, Historical"
63,2070423204,[]
64,0345260317,"Science, Nonfiction, Philosophy, Evolution, Biology, Psychology, History"
65,0394743741,"Fiction, Russia, Humor, Russian Literature, Classics, 20th Century"
66,042511774X,"Fiction, Contemporary, Literary Fiction, Novels, Literature, Adult Fiction, American"
67,0804106304,"Fiction, Historical Fiction, Classics, China, Contemporary, Adult Fiction, Adult"
68,1853262404,"Classics, Fiction, Literature, Short Stories, Africa, Adventure, Novels"
69,0312970242,Fiction
70,1853260053,"Classics, Fiction, Romance, Literature, Historical Fiction, 19th Century, Victorian"
71,1414035004,[]
72,0060938412,"Chick Lit, Fiction, Romance, Humor, Adult Fiction, Contemporary, Adult"
73,0140067477,"Philosophy, Nonfiction, Spirituality, Religion, Self Help, Taoism, Audiobook"
74,0345465083,"Nonfiction, History, Biography, Sports, Animals, Horses, Historical"
75,0451625889,"Classics, Philosophy, Nonfiction, Politics, History, Literature, Political Science"
76,1558531025,"Nonfiction, Self Help, Philosophy, Inspirational, Spirituality, Personal Development, Psychology"
77,0441783589,"Science Fiction, Fiction, Classics, Military Fiction, War, Science Fiction Fantasy, Space Opera"
78,0394895894,"Mystery, Young Adult, Historical Fiction, Fiction, Historical, Fantasy, Adventure"
79,1569871213,"Classics, Fiction, Childrens, Animals, Young Adult, Horses, Historical Fiction"
80,0375410538,[]
81,0966986105,[]
82,087113375X,"Humor, Nonfiction, Comedy, Essays, Cultural, Self Help, American"
83,0340767936,"Fiction, Chick Lit, Humor, Romance, Contemporary, Novels, Contemporary Romance"
84,0743403843,"Science Fiction, Thriller, Fiction, Mystery, Adventure, Archaeology, Action"
85,0060930365,Memoir
86,0060177586,"Biography, Politics, Nonfiction, Memoir, History, Biography Memoir, Autobiography"
87,0071416331,[]
88,0375509038,"Politics, Biography, Nonfiction, History, Presidents, Us Presidents, Historical"
89,0553062042,"Westerns, Fiction, Historical Fiction, Adventure, Historical, Action, 19th Century"
90,0316769487,"Classics, Fiction, Young Adult, Literature, School, Novels, Coming Of Age"
91,8445071408,"Fantasy, Classics, Fiction, Adventure, High Fantasy, Science Fiction Fantasy, Epic Fantasy"
92,8445071769,"Fantasy, Classics, Fiction, Adventure, High Fantasy, Science Fiction Fantasy, Epic Fantasy"
93,8445071777,"Fantasy, Fiction, Classics, Adventure, High Fantasy, Science Fiction Fantasy, Epic Fantasy"
94,0679429220,"Nonfiction, True Crime, Mystery, Crime, History, Southern, Classics"
95,0671867156,[]
96,0312252617,"Romance, Chick Lit, Contemporary Romance, Fiction, Contemporary, Mystery, Humor"
97,0312261594,"Chick Lit, Romance, Fiction, Humor, Contemporary Romance, Mystery, Adult Fiction"
98,0316748641,"Italy, Travel, Memoir, Nonfiction, Italian Literature, Biography Memoir, History"
99,0316973742,"Fiction, Historical Fiction, Thriller, Novels, Religion, Literary Fiction, British Literature"
100,0385235941,"Short Stories, Fiction, Anthologies"
101,0446677450,"Business, Finance, Nonfiction, Self Help, Personal Finance, Money, Personal Development"
102,0451166892,"Historical Fiction, Fiction, Historical, Fantasy, Classics, Medieval, Audiobook"
103,0553347594,"Business, Nonfiction, Biography, History, Buisness, Entrepreneurship, Food"
104,0671621009,"Finance, Business, Money, Nonfiction, Money Management, Personal Finance, Self Help"
105,067976397X,"Fiction, Historical Fiction, Romance, Classics, War, Greece, Historical"
106,0684822733,"Animals, Nonfiction, Dogs"
107,0786868716,"Fiction, Contemporary, Inspirational, Fantasy, Classics, Spirituality, Adult"
108,8472238822,"Romance, LGBT, Erotica"
109,0671864769,"Star Trek, Science Fiction, Fiction, Star Trek The Next Generation, Science Fiction Fantasy, Media Tie In, Novels"
110,0671521519,"Fiction, Young Adult, Classics, Realistic Fiction, Childrens, School, Coming Of Age"
111,0440222303,"Babylon 5, Science Fiction, Fiction, Science Fiction Fantasy, Tv, Media Tie In, Space Opera"
112,0312953453,"Thriller, Mystery Thriller, Fiction, Mystery, Adventure, Horror, Espionage"
113,0446608653,"Romance, Mystery, Romantic Suspense, Suspense, Fiction, Thriller, Contemporary"
114,0446612545,"Mystery, Fiction, Thriller, Crime, Suspense, Mystery Thriller, Murder Mystery"
115,0446612618,"Romance, Contemporary Romance, Contemporary, Fiction, Chick Lit, Audiobook, Harlequin"
116,0451208080,"Mystery, Fiction, Thriller, Mystery Thriller, Suspense, Crime, Detective"
117,0553584383,"Mystery, Suspense, Fiction, Thriller, Romance, Mystery Thriller, Romantic Suspense"
118,0671027360,"Fiction, Mystery, Thriller, Mystery Thriller, Suspense, Adventure, Crime"
119,0812575954,[]
120,0316735736,"Fiction, Historical Fiction, Romance, Chick Lit, Contemporary, Historical, Drama"
121,0743439740,"True Crime, Nonfiction, Crime, Mystery, Audiobook, Adult, Biography"
122,0345372700,"Humor, Nonfiction, Biography, Southern, Comedy, Essays, Memoir"
123,0380619458,"Fiction, Adventure, Travel, Classics, Literary Fiction, Novels, Literature"
124,0446325805,"Humor, Nonfiction, Essays, Biography, Southern"
125,0451406923,"True Crime, Nonfiction"
126,0671042858,"Horror, Fiction, Thriller, Suspense, Mystery, Fantasy, Survival"
127,0743249992,"Nonfiction, Biography, Memoir, True Crime, Crime, History, Sports"
128,0840734530,"Fantasy, Christian"
129,0425184226,"Fiction, Thriller, Espionage, Action, Military Fiction, Suspense, Adventure"
130,0375500766,"Nonfiction, Biography, Inspirational"
131,9724119378,"Fiction, India, Historical Fiction, Contemporary, Classics, Literary Fiction, Indian Literature"
132,0451205197,Romance
133,0060929790,"Fiction, Classics, Magical Realism, Literature, Fantasy, Novels, Historical Fiction"
134,0060976845,"Fiction, Chick Lit, Southern, Contemporary, Historical Fiction, Coming Of Age, Adult Fiction"
135,0061099325,"Mystery, Fiction, Mystery Thriller, Crime, Westerns, Detective, Native Americans"
136,0671004573,"Mystery, Fiction, Suspense, Thriller, Mystery Thriller, Crime, Adult"
137,0446601640,"Romance, Fiction, Contemporary, Adult Fiction, Chick Lit, Love Story, Novels"
138,0330484516,"Health, Self Help, Spirituality"
139,038572179X,"Fiction, Historical Fiction, Classics, Romance, Historical, War, Literary Fiction"
140,0393020371,"Nonfiction, Business, Technology, Internet, Economics, Audiobook, Computers"
141,1900850303,Fiction
142,1903019699,Fiction
143,0345425294,"Fiction, Crime, Thriller, Mystery, Historical Fiction, Mystery Thriller, Literature"
144,0451410319,"Mystery, Thriller, Suspense, Fiction, Crime, Mystery Thriller, Horror"
145,0553583468,"Mystery, Paranormal, Romance, Fiction, Romantic Suspense, Suspense, Thriller"
146,8420639133,"Philosophy, Nonfiction, Religion, Classics, Theology, Christianity, Psychology"
147,8476409419,"Philosophy, Nonfiction, Essays, Spain, Love, Psychology, Spanish Literature"
148,0380778556,"Classics, Fiction, Mystery, Gothic, Romance, Historical Fiction, Thriller"
149,0451525221,"Classics, Fiction, Historical Fiction, School, Literature, High School, Read For School"
150,0002740230,[]
151,0385336772,"Chick Lit, Fiction, Humor, Romance, Diary, Adult Fiction, American"
152,0440949424,"Young Adult, Mystery, Fiction, Horror, Thriller, Fantasy, Paranormal"
153,0505524996,"Romance, Science Fiction, Aliens, Science Fiction Romance, Futuristic, Fantasy, Fiction"
154,0140252800,"Mystery, Fiction, Crime, Suspense, Thriller, Mystery Thriller, British Literature"
155,0451452755,"Fantasy, Cats, Fiction, Animals, Mystery, Young Adult, Magic"
156,0812575482,"Fantasy, Fiction, High Fantasy, Magic, Wolves, Adult, Adventure"
157,044651747X,"Fiction, Romance, Mystery, Adventure, American, Thriller, Novels"
158,0060801263,"Classics, Fiction, Historical Fiction, Young Adult, Coming Of Age, Historical, Literature"
159,0061030147,"Nonfiction, Biography, Memoir, Autobiography, Biography Memoir, Humor, Pop Culture"
160,0140250964,"Fiction, Literary Fiction, Mystery, Novels, Crime, Coming Of Age, Contemporary"
161,0446527165,"Fiction, Historical Fiction, Mystery, Thriller, Historical, Drama, Family"
162,0671461494,"Science Fiction, Fiction, Humor, Classics, Fantasy, Comedy, Science Fiction Fantasy"
163,0385337639,"Fiction, Canada, Contemporary, Family, Literary Fiction, Adult Fiction, Coming Of Age"
164,039575514X,"Classics, Fiction, Historical Fiction, Literature, School, American, Novels"
165,0451206673,"Chick Lit, Fiction, Romance, Humor, Contemporary, Contemporary Romance, Womens Fiction"
166,0330332775,"Fiction, Chick Lit, Romance, Humor, Contemporary, Adult, Comedy"
167,0486284735,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Novels"
168,0671021745,"Mystery, Fiction"
169,0671047612,"Mystery, Fiction, Young Adult, Detective, Childrens"
170,0671504282,"Young Adult, Mystery"
171,0399138684,"Mystery, Fiction, Cozy Mystery, Cats, Animals, Audiobook, Crime"
172,0785263292,Nonfiction
173,0830714014,"Relationships, Parenting, Christian, Nonfiction, Health, Family"
174,0345354931,"Fantasy, Fiction, Humor, Science Fiction Fantasy, Young Adult, Magic, Science Fiction"
175,0553278223,"Science Fiction, Fiction, Classics, Short Stories, Fantasy, Science Fiction Fantasy, Audiobook"
176,3150000335,"Classics, Plays, German Literature, School, Drama, Fiction, Read For School"
177,3257203659,"Science Fiction, Short Stories, Fiction, Classics, Fantasy, Horror, Science Fiction Fantasy"
178,3257207522,"Crime, Noir, Adventure"
179,3257208626,"Classics, Fiction, Science Fiction, Dystopia, School, Literature, Novels"
180,3257208634,"Science Fiction, Fiction, Classics, Short Stories, Fantasy, Science Fiction Fantasy, Audiobook"
181,3257208669,"Horror, Fantasy, Fiction, Classics, Science Fiction, Young Adult, Halloween"
182,3257210450,"Fiction, Classics, Science Fiction, Fantasy, Young Adult, Short Stories, Coming Of Age"
183,3257212054,"Science Fiction, Short Stories, Fiction, Fantasy, Classics, Science Fiction Fantasy, Horror"
184,3257212429,"Science Fiction, Short Stories, Fiction, Fantasy, Collections, Science Fiction Fantasy, Classics"
185,3257214154,"Horror, Short Stories, Fiction, Fantasy, Science Fiction, Classics, Halloween"
186,3257216416,"Short Stories, Horror, Mystery, Fiction, Science Fiction, Crime, Fantasy"
187,3257233051,"Fiction, Contemporary, Philosophy, Novels, Psychology, Romance, Mental Health"
188,342311360X,"Fiction, Classics, Historical Fiction, Romance, Magical Realism, Literature, Novels"
189,3423116714,"Fiction, Science Fiction, Literary Fiction, Feminism, Novels, Womens, Contemporary"
190,3423241489,"Chick Lit, Fiction, Romance, Humor, Novels, Comedy, Indonesian Literature"
191,3426605686,"Historical Fiction, Fiction, Magical Realism, Historical, Fantasy, Adult, Literary Fiction"
192,3453212150,"Fiction, Humor, Young Adult, Comedy, Contemporary, British Literature, Novels"
193,3462021095,"Fiction, Contemporary, German Literature, Germany"
194,3492045642,"Nonfiction, Politics, Humor, Sociology, Essays, History, Comedy"
