id,Address,zipcode
1,3 Canary Avenue,84757
2,3218 Arrowood Plaza,10594
3,816 8th Crossing,56356
4,74984 Onsgard Junction,28539
5,52200 Lillian Parkway,93662
6,3330 Darwin Crossing,00921
7,56 Loftsgordon Parkway,53103
8,6 Oneill Hill,53577
9,48 Superior Drive,01844
10,9105 Superior Lane,85281
11,530 Muir Alley,63665
12,3 Clemons Pass,75241
13,967 Arapahoe Lane,93728
14,93429 Corry Center,66612
15,9471 Tomscot Pass,90842
16,6 Milwaukee Avenue,08001
17,64 Fallview Junction,34442
18,47591 Pine View Point,13485
19,2337 Grayhawk Circle,80532
20,997 Columbus Road,86040
21,414 Superior Drive,95018
22,93 Glacier Hill Place,26203
23,48319 Amoth Street,53923
24,41 Novick Drive,73169
25,7 Miller Way,13749
26,285 Lawn Court,32040
27,348 Tennessee Street,28302
28,8 Declaration Place,75834
29,339 Merchant Alley,44822
30,307 Lotheville Pass,41754
31,53404 Killdeer Point,78683
32,14523 Corben Hill,67456
33,9 Hermina Crossing,13290
34,565 Chive Terrace,41366
35,7 Reindahl Hill,14010
36,2616 Golf View Alley,95570
37,21964 Pepper Wood Avenue,37950
38,1343 Mendota Crossing,91333
39,2897 Lien Trail,45646
40,81961 Prairieview Lane,39182
41,10 Armistice Junction,76849
42,844 Westridge Place,30528
43,6665 Nobel Street,41135
44,559 Trailsway Hill,19146
45,5391 Pawling Avenue,30277
46,142 Emmet Park,98637
47,13 Luster Point,10159
48,731 Maryland Court,89422
49,163 Vernon Alley,53147
50,115 Acker Crossing,77435
51,59515 Goodland Drive,16872
52,13 Merry Center,72390
53,040 Montana Circle,95712
54,4 Mallory Drive,24502
55,403 Crescent Oaks Point,43316
56,7 Loftsgordon Lane,92596
57,6 Laurel Place,24558
58,61406 Jay Place,45636
59,0 Erie Way,13235
60,3 Village Parkway,79013
61,55594 Straubel Terrace,13777
62,94 Mandrake Terrace,94150
63,1378 Main Way,25534
64,9792 Rieder Junction,09099
65,08622 Evergreen Plaza,41219
66,9 Harbort Terrace,80442
67,29 Waxwing Circle,00751
68,522 Northridge Court,97068
69,979 Little Fleur Lane,02887
70,1653 Quincy Alley,33192
71,20 Vera Park,05468
72,07510 Main Center,91021
73,31 4th Circle,18935
74,12 Old Gate Point,92350
75,8 Green Terrace,02051
76,228 Acker Street,62027
77,8 Stone Corner Plaza,20128
78,56899 Hoepker Court,57626
79,49 Hovde Way,92331
80,7393 Fallview Parkway,68340
81,8 Lake View Park,61282
82,1581 Pierstorff Avenue,10008
83,38647 Lakeland Junction,46236
84,8 John Wall Park,34430
85,8 Prairie Rose Place,94903
86,9 Lyons Terrace,13736
87,6 Sloan Terrace,30310
88,56950 Sloan Lane,52776
