ISBN,title,desc,price,publisher_id,published_year,image
0195153448,Classical Mythology,"Featuring the authors extensive, clear, and faithful translations of original sources, Classical Mythology, Seventh Edition, retells the myths and legends of Greece and Rome in a lucid and engaging style. Building on the best-selling tradition of previous editions, it incorporates a dynamic combination of poetic narratives and enlightening commentary to make classical myths come alive for students. The discussion covers comparative and interpretative approaches as well as evidence from art and archaeology. The authors also examine the enduring survival of classical mythology in the fields of art, literature, music, dance, and film.  Classical Mythology, Seventh Edition, enables students to explore the fascinating nature of Greek and Roman gods, goddesses, heroes, and heroines and to appreciate the most significant ancient sources of classical legends and myths. The text is beautifully enhanced by 180 illustrations, in both color and black and white.  Classical Mythology, Seventh Edition features:  * More extensive translations of works by the ancient authors: Selections by Greek authors include all thirty-three Homeric Hymns; the important passages in Hesiods Theogony and Works and Days; and excerpts from Homer, Aeschylus, Sophocles, Euripides, Herodotus, Plato, Lucian, Pindar, the Pre-Socratic philosophers, and the Lyric poets. Works by Latin authors including Ovid, Vergil, Statius, Manilius, and Seneca are also provided.  * An expanded art program: Sixty-six new illustrations--selected from both the ancient and the modern world--appear throughout the text and are accompanied by substantial and informative captions. Three new maps are also included.  * Text boxes--incorporated for the first time--explore a variety of new topics and highlight interpretative approaches.  * A selected bibliography is included for each chapter.  * More explanatory material is integrated throughout, including a Glossary of Mythological Words and Phrases in English.  * Companion website: www.classicalmythology.org includes chapter-by-chapter summaries, suggested activities, maps, practice test questions, and PowerPoint lecture slides. The website has been revised to enhance the multifaceted subjects treated in the text and to provide links to numerous helpful resources.",75,1,2002,https://images-na.ssl-images-amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
0198320264,Julius Caesar (Oxford School Shakespeare),"The Oxford School Shakespeare has become the preferred introduction to the literary legacy of the greatest playwright in the English language. This exclusive collection of the Bards best works has been designed specifically for readers new to Shakespeares rich literary legacy. Each play is presented complete and unabridged, in large print. Every book is well illustrated, and starts with a commentary and character summary. Scene synopses and character summaries clarify confusing plots, while incisive essays explore the historical context and Shakespeares sources. Each book ends with a complete list of Shakespeares plays and a brief chronology of the Bards life. The detailed explanatory notes are written clearly and positioned right next to the text--no more squinting at microscopic footnotes or flipping pages back and forth in search of endnotes! The new edition of the series features new covers and new illustrations, including both new drawings and photos from recent productions of Shakespeares plays around the globe. In addition, the notes and the introductory material have been completely revised in line with new research and in order to make them clearer and more accessible. Finally, the entire text has been redesigned and reset to enhance readability. The new edition achieves the feat of unprecedented clarity of presentation without any cuts to the original text or the detailed explanations.",20,1,2001,https://images-na.ssl-images-amazon.com/images/P/0198320264.01.LZZZZZZZ.jpg
0192815318,Cranford (The World's Classics),"Cranford is in possession of the Amazons; all the holders of houses, above a certain rent, are women. In this witty and poignant comedy of early-Victorian life in a country town, Elizabeth Gaskell describes the uneventful lives of the lady-like inhabitants so as to offer an ironic commentary on the diverse experiences of men and women. She explores the unlikely juxtapositions of old and new brought about by the pace of change: the effects of Victorian commerce and imperial expansion co-exist with the survival of customs and habits of thought from much earlier times. This edition has detailed notes and a new introduction which discusses the originality and subtlety of the books angle on womens experience.",25,1,1982,https://images-na.ssl-images-amazon.com/images/P/0192815318.01.LZZZZZZZ.jpg
0198604025,How Not to Say What You Mean: A Dictionary of Euphemisms (Oxford Paperback Reference S.),"We often use euphemisms when dealing with taboo or sensitive subjects. We speak of full-figured women. We fudge on our income tax. We get cold feet before our wedding. In How Not to Say What You Mean, R.W. Holder offers an engaging volume that celebrates this human tendency to use mild, vague, or roundabout expressions rather than those which are blunt, precise, and true. Arranged in alphabetical order, this dictionary contains thousands of entertaining and informative entries ranging from such circumlocutions as a fruit salad (mixture of illegal narcotics), arm candy (a good-looking female companion), a barrel-house (a brothel), birthday suit (nakedness), and a blue hair (an old women). Completely updated, the dictionary provides definitions, examples, as well as historical explanations where appropriate. Fun, fascinating, lively, and at times shocking, this new edition of How Not to Say What You Mean is a browsers delight and will appeal to all language and word play lovers, and anyone looking for a good laugh.",80,1,2003,https://images-na.ssl-images-amazon.com/images/P/0198604025.01.LZZZZZZZ.jpg
0002005018,Clara Callan,"In a small town in Canada, Clara Callan reluctantly takes leave of her sister, Nora, who is bound for New York. Its a time when the growing threat of fascism in Europe is a constant worry, and people escape from reality through radio and the movies. Meanwhile, the two sisters  vastly different in personality, yet inextricably linked by a shared past  try to find their places within the complex web of social expectations for young women in the 1930s.While Nora embarks on a glamorous career as a radio-soap opera star, Clara, a strong and independent-minded woman, struggles to observe the traditional boundaries of a small and tight-knit community without relinquishing her dreams of love, freedom, and adventure. However, things arent as simple as they appear  Noras letters eventually reveal life in the big city is less exotic than it seems, and the tranquil solitude of Claras life is shattered by a series of unforeseeable events. These twists of fate require all of Claras courage and strength, and finally put the seemingly unbreakable bond between the sisters to the test.",30,2,2001,https://images-na.ssl-images-amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
0060973129,Decision in Normandy,"Here, for the first time in paperback, is an outstanding military history that offers a dramatic new perspective on the Allied campaign that began with the invasion of the D-Day beaches of Normandy. Nationa advertising in Military History.",85,3,1991,https://pictures.abebooks.com/isbn/9780060973124-us.jpg
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,"The fascinating, true story of the worlds deadliest disease. In 1918, the Great Flu Epidemic felled the young and healthy virtually overnight. An estimated forty million people died as the epidemic raged. Children were left orphaned and families were devastated. As many American soldiers were killed by the 1918 flu as were killed in battle during World War I. And no area of the globe was safe. Eskimos living in remote outposts in the frozen tundra were sickened and killed by the flu in such numbers that entire villages were wiped out. Scientists have recently rediscovered shards of the flu virus frozen in Alaska and preserved in scraps of tissue in a government warehouse. Gina Kolata, an acclaimed reporter for The New York Times, unravels the mystery of this lethal virus with the high drama of a great adventure story. Delving into the history of the flu and previous epidemics, detailing the science and the latest understanding of this mortal disease, Kolata addresses the prospects for a great epidemic recurring, and, most important, what can be done to prevent it.",45,4,1999,https://images-na.ssl-images-amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
0374386676,The Year They Burned the Books,"By the author of Annie on My MindWhen Wilson High Telegraph editor Jamie Crawford writes an opinion piece in support of the new sex-ed curriculum, which includes making condoms available to high school students, she has no idea that a huge controversy is brewing. Lisa Buel, a school board member, is trying to get rid of the health program, which she considers morally flawed, from its textbooks to its recommendations for outside reading. The newspaper staff find themselves in the center of the storm, and things are complicated by the fact that Jamie is in the process of coming to terms with being gay, and her best friend, Terry, also gay, has fallen in love with a boy whose parents are anti-homosexual. As Jamies and Terrys sexual orientation becomes more obvious to other students, it looks as if the paper theyre fighting to keep alive and honest is going to be taken away from them. Nancy Garden has depicted a contemporary battleground in a novel that probes deep into issues of censorship, prejudice, and ethics.",80,4,1999,https://images-na.ssl-images-amazon.com/images/P/0374386676.01.LZZZZZZZ.jpg
0393045218,The Mummies of Urumchi,"In the museums of Urumchi, the wind-swept regional capital of the Uyghur Autonomous Region in Western China, a collection of ancient mummies date back as far as 4,000 years -- contemporary to the famous Egyptian mummies, but even more beautifully preserved, especially their clothing. Surprisingly, these prehistoric people are not Asian but Caucasoid -- tall and large-nosed and blond with thick beards and round eyes (probably blue). What were these blond Caucasians doing in the heart of Asia? Where did they come from and what language did they speak? Might they be related to a lost tribe of Indo-Europeans known from later inscriptions? Few gifts are to be found in the graves of Urumchi, making it difficult for archaeologists to pinpoint cultural connections from clues offered by pottery and tools. But their clothes -- woolens that rarely survive more than a few centuries -- have been preserved as brightly hued as the day they were woven.Elizabeth Wayland Barber describes these remarkable mummies, their clothing, their shepherding ways, and their path to this remote, mysterious, and forbidding place. She pieces together their history and peculiar Western connections from both what she saw in Urumchi and the testimony of explorers who traveled along the Silk Road a century earlier.",35,5,1999,https://images-na.ssl-images-amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg
0393318435,Leaving Pipe Shop: Memories of Kin,"In the illuminating language of memory, Deborah McDowell tells the story of her family, living a segregated life in Bessemer, Alabama, where her father worked at U.S. Foundry and Pipe, nicknamed Pipe Shop. Through the intimate details of their daily lives, she shows us how civil rights affected a working-class town, among three generations of women and men. McDowell movingly uncovers a world rarely portrayed, where she was raised to love the sounds and meanings of words and to value a place and culture that has passed. What an eye McDowell has for important stories hidden in the everyday details, and what a good storyteller she is.—Tonya Bolden, Washington Post Book World [McDowell] weaves the plainest drab cotton threads into a magic carpet.—Adele Logan Alexander, Womens Review of Books Engrossing. . . . The author has a seductive way with words that makes Leaving Pipe Shop as good as a piece of sweet potato pie served after a plate of greens and fried chicken.—Boston Globe",60,5,1998,https://images-na.ssl-images-amazon.com/images/P/0393318435.01.LZZZZZZZ.jpg
