zipcode,city,state,country
00501,Holtsville,NY,US
00544,Holtsville,NY,US
00601,Adjuntas,PR,US
00602,Aguada,PR,US
00603,Aguadilla,PR,US
00604,Aguadilla,PR,US
00605,Aguadilla,PR,US
00606,Maricao,PR,US
00610,Anasco,PR,US
00611,Angeles,PR,US
00612,Arecibo,PR,US
00613,Arecibo,PR,US
00614,Arecibo,PR,US
00616,Bajadero,PR,US
00617,Barceloneta,PR,US
00622,Boqueron,PR,US
00623,Cabo Rojo,PR,US
00624,Penuelas,PR,US
00627,Camuy,PR,US
00631,Castaner,PR,US
00636,Rosario,PR,US
00637,Sabana Grande,PR,US
00638,Ciales,PR,US
00641,Utuado,PR,US
00646,Dorado,PR,US
00647,Ensenada,PR,US
00650,Florida,PR,US
00652,Garrochales,PR,US
00653,Guanica,PR,US
00656,Guayanilla,PR,US
00659,Hatillo,PR,US
00660,Hormigueros,PR,US
00662,Isabela,PR,US
00664,Jayuya,PR,US
00667,Lajas,PR,US
00669,Lares,PR,US
00670,Las Marias,PR,US
00674,Manati,PR,US
00676,Moca,PR,US
00677,Rincon,PR,US
00678,Quebradillas,PR,US
00680,Mayaguez,PR,US
00681,Mayaguez,PR,US
00682,Mayaguez,PR,US
00683,San German,PR,US
00685,San Sebastian,PR,US
00687,Morovis,PR,US
00688,Sabana Hoyos,PR,US
00690,San Antonio,PR,US
00692,Vega Alta,PR,US
00693,Vega Baja,PR,US
00694,Vega Baja,PR,US
00698,Yauco,PR,US
00703,Aguas Buenas,PR,US
00704,Aguirre,PR,US
00705,Aibonito,PR,US
00707,Maunabo,PR,US
00714,Arroyo,PR,US
00715,Mercedita,PR,US
00716,Ponce,PR,US
00717,Ponce,PR,US
00718,Naguabo,PR,US
00719,Naranjito,PR,US
00720,Orocovis,PR,US
00721,Palmer,PR,US
00723,Patillas,PR,US
00725,Caguas,PR,US
00726,Caguas,PR,US
00727,Caguas,PR,US
00728,Ponce,PR,US
00729,Canovanas,PR,US
00730,Ponce,PR,US
00731,Ponce,PR,US
00732,Ponce,PR,US
00733,Ponce,PR,US
00734,Ponce,PR,US
00735,Ceiba,PR,US
00736,Cayey,PR,US
00737,Cayey,PR,US
00738,Fajardo,PR,US
00739,Cidra,PR,US
00740,Puerto Real,PR,US
00741,Punta Santiago,PR,US
00742,Roosevelt Roads,PR,US
00744,Rio Blanco,PR,US
00745,Rio Grande,PR,US
00751,Salinas,PR,US
00754,San Lorenzo,PR,US
00757,Santa Isabel,PR,US
00765,Vieques,PR,US
00766,Villalba,PR,US
00767,Yabucoa,PR,US
00769,Coamo,PR,US
00771,Las Piedras,PR,US
00772,Loiza,PR,US
00773,Luquillo,PR,US
00775,Culebra,PR,US
00777,Juncos,PR,US
00778,Gurabo,PR,US
00780,Coto Laurel,PR,US
00782,Comerio,PR,US
00783,Corozal,PR,US
00784,Guayama,PR,US
00785,Guayama,PR,US
00786,La Plata,PR,US
00791,Humacao,PR,US
00792,Humacao,PR,US
00794,Barranquitas,PR,US
00795,Juana Diaz,PR,US
00801,St Thomas,VI,US
00802,St Thomas,VI,US
00803,St Thomas,VI,US
00804,St Thomas,VI,US
00805,St Thomas,VI,US
00820,Christiansted,VI,US
00821,Christiansted,VI,US
00822,Christiansted,VI,US
00823,Christiansted,VI,US
00824,Christiansted,VI,US
00830,St John,VI,US
00831,St John,VI,US
00840,Frederiksted,VI,US
00841,Frederiksted,VI,US
00850,Kingshill,VI,US
00851,Kingshill,VI,US
00901,San Juan,PR,US
00902,San Juan,PR,US
00906,San Juan,PR,US
00907,San Juan,PR,US
00908,San Juan,PR,US
00909,San Juan,PR,US
00910,San Juan,PR,US
00911,San Juan,PR,US
00912,San Juan,PR,US
00913,San Juan,PR,US
00914,San Juan,PR,US
00915,San Juan,PR,US
00916,San Juan,PR,US
00917,San Juan,PR,US
00918,San Juan,PR,US
00919,San Juan,PR,US
00920,San Juan,PR,US
00921,San Juan,PR,US
00922,San Juan,PR,US
00923,San Juan,PR,US
00924,San Juan,PR,US
00925,San Juan,PR,US
00926,San Juan,PR,US
00927,San Juan,PR,US
00928,San Juan,PR,US
00929,San Juan,PR,US
00930,San Juan,PR,US
00931,San Juan,PR,US
00933,San Juan,PR,US
00934,Fort Buchanan,PR,US
00935,San Juan,PR,US
00936,San Juan,PR,US
00937,San Juan,PR,US
00939,San Juan,PR,US
00940,San Juan,PR,US
00949,Toa Baja,PR,US
00950,Toa Baja,PR,US
00951,Toa Baja,PR,US
00952,Sabana Seca,PR,US
00953,Toa Alta,PR,US
00954,Toa Alta,PR,US
00955,San Juan,PR,US
00956,Bayamon,PR,US
00957,Bayamon,PR,US
00958,Bayamon,PR,US
00959,Bayamon,PR,US
00960,Bayamon,PR,US
00961,Bayamon,PR,US
00962,Catano,PR,US
00963,Catano,PR,US
00965,Guaynabo,PR,US
00966,Guaynabo,PR,US
00968,Guaynabo,PR,US
00969,Guaynabo,PR,US
00970,Guaynabo,PR,US
00971,Guaynabo,PR,US
00975,San Juan,PR,US
00976,Trujillo Alto,PR,US
00977,Trujillo Alto,PR,US
00978,Saint Just,PR,US
00979,Carolina,PR,US
00981,Carolina,PR,US
00982,Carolina,PR,US
00983,Carolina,PR,US
00984,Carolina,PR,US
00985,Carolina,PR,US
00986,Carolina,PR,US
00987,Carolina,PR,US
00988,Carolina,PR,US
01001,Agawam,MA,US
01002,Amherst,MA,US
01003,Amherst,MA,US
01004,Amherst,MA,US
01005,Barre,MA,US
01007,Belchertown,MA,US
01008,Blandford,MA,US
01009,Bondsville,MA,US
01010,Brimfield,MA,US
01011,Chester,MA,US
01012,Chesterfield,MA,US
01013,Chicopee,MA,US
01014,Chicopee,MA,US
01020,Chicopee,MA,US
01021,Chicopee,MA,US
01022,Chicopee,MA,US
01026,Cummington,MA,US
01027,Easthampton,MA,US
01028,East Longmeadow,MA,US
01029,East Otis,MA,US
01030,Feeding Hills,MA,US
01031,Gilbertville,MA,US
01032,Goshen,MA,US
01033,Granby,MA,US
01034,Granville,MA,US
01035,Hadley,MA,US
01036,Hampden,MA,US
01037,Hardwick,MA,US
01038,Hatfield,MA,US
01039,Haydenville,MA,US
01040,Holyoke,MA,US
01041,Holyoke,MA,US
01050,Huntington,MA,US
01053,Leeds,MA,US
01054,Leverett,MA,US
01056,Ludlow,MA,US
01057,Monson,MA,US
01059,North Amherst,MA,US
01060,Northampton,MA,US
01061,Northampton,MA,US
01062,Florence,MA,US
01063,Northampton,MA,US
01066,North Hatfield,MA,US
01068,Oakham,MA,US
01069,Palmer,MA,US
01070,Plainfield,MA,US
01071,Russell,MA,US
01072,Shutesbury,MA,US
01073,Southampton,MA,US
01074,South Barre,MA,US
01075,South Hadley,MA,US
01077,Southwick,MA,US
01079,Thorndike,MA,US
01080,Three Rivers,MA,US
01081,Wales,MA,US
01082,Ware,MA,US
01083,Warren,MA,US
01084,West Chesterfield,MA,US
01085,Westfield,MA,US
01086,Westfield,MA,US
01088,West Hatfield,MA,US
01089,West Springfield,MA,US
01090,West Springfield,MA,US
01092,West Warren,MA,US
01093,Whately,MA,US
01094,Wheelwright,MA,US
01095,Wilbraham,MA,US
01096,Williamsburg,MA,US
01097,Woronoco,MA,US
01098,Worthington,MA,US
01101,Springfield,MA,US
01102,Springfield,MA,US
01103,Springfield,MA,US
01104,Springfield,MA,US
01105,Springfield,MA,US
01106,Longmeadow,MA,US
01107,Springfield,MA,US
01108,Springfield,MA,US
01109,Springfield,MA,US
01111,Springfield,MA,US
01115,Springfield,MA,US
01116,Longmeadow,MA,US
01118,Springfield,MA,US
01119,Springfield,MA,US
01128,Springfield,MA,US
01129,Springfield,MA,US
01133,Springfield,MA,US
01138,Springfield,MA,US
01139,Springfield,MA,US
01144,Springfield,MA,US
01151,Indian Orchard,MA,US
01152,Springfield,MA,US
01195,Springfield,MA,US
01199,Springfield,MA,US
01201,Pittsfield,MA,US
01202,Pittsfield,MA,US
01203,Pittsfield,MA,US
01220,Adams,MA,US
01222,Ashley Falls,MA,US
01223,Becket,MA,US
01224,Berkshire,MA,US
01225,Cheshire,MA,US
01226,Dalton,MA,US
01227,Dalton,MA,US
01229,Glendale,MA,US
01230,Great Barrington,MA,US
01235,Hinsdale,MA,US
01236,Housatonic,MA,US
01237,Lanesborough,MA,US
01238,Lee,MA,US
01240,Lenox,MA,US
01242,Lenox Dale,MA,US
01243,Middlefield,MA,US
01244,Mill River,MA,US
01245,Monterey,MA,US
01247,North Adams,MA,US
01252,North Egremont,MA,US
01253,Otis,MA,US
01254,Richmond,MA,US
01255,Sandisfield,MA,US
01256,Savoy,MA,US
01257,Sheffield,MA,US
01258,South Egremont,MA,US
01259,Southfield,MA,US
01260,South Lee,MA,US
01262,Stockbridge,MA,US
01263,Stockbridge,MA,US
01264,Tyringham,MA,US
01266,West Stockbridge,MA,US
01267,Williamstown,MA,US
01270,Windsor,MA,US
01301,Greenfield,MA,US
01302,Greenfield,MA,US
01330,Ashfield,MA,US
01331,Athol,MA,US
01337,Bernardston,MA,US
01338,Buckland,MA,US
01339,Charlemont,MA,US
01340,Colrain,MA,US
01341,Conway,MA,US
01342,Deerfield,MA,US
01343,Drury,MA,US
01344,Erving,MA,US
01346,Heath,MA,US
01347,Lake Pleasant,MA,US
01349,Millers Falls,MA,US
01350,Monroe Bridge,MA,US
01351,Montague,MA,US
01354,Gill,MA,US
01355,New Salem,MA,US
01360,Northfield,MA,US
01364,Orange,MA,US
01366,Petersham,MA,US
01367,Rowe,MA,US
01368,Royalston,MA,US
01370,Shelburne Falls,MA,US
01373,South Deerfield,MA,US
01375,Sunderland,MA,US
01376,Turners Falls,MA,US
01378,Warwick,MA,US
01379,Wendell,MA,US
01380,Wendell Depot,MA,US
01420,Fitchburg,MA,US
01430,Ashburnham,MA,US
01431,Ashby,MA,US
01432,Ayer,MA,US
01434,Devens,MA,US
01436,Baldwinville,MA,US
01438,East Templeton,MA,US
01440,Gardner,MA,US
01441,Westminster,MA,US
01450,Groton,MA,US
01451,Harvard,MA,US
01452,Hubbardston,MA,US
01453,Leominster,MA,US
01460,Littleton,MA,US
01462,Lunenburg,MA,US
01463,Pepperell,MA,US
01464,Shirley,MA,US
01467,Still River,MA,US
01468,Templeton,MA,US
01469,Townsend,MA,US
01470,Groton,MA,US
01471,Groton,MA,US
01472,West Groton,MA,US
01473,Westminster,MA,US
01474,West Townsend,MA,US
01475,Winchendon,MA,US
01477,Winchendon Springs,MA,US
01501,Auburn,MA,US
01503,Berlin,MA,US
01504,Blackstone,MA,US
01505,Boylston,MA,US
01506,Brookfield,MA,US
01507,Charlton,MA,US
01508,Charlton City,MA,US
01509,Charlton Depot,MA,US
01510,Clinton,MA,US
01515,East Brookfield,MA,US
01516,Douglas,MA,US
01517,East Princeton,MA,US
01518,Fiskdale,MA,US
01519,Grafton,MA,US
01520,Holden,MA,US
01521,Holland,MA,US
01522,Jefferson,MA,US
01523,Lancaster,MA,US
01524,Leicester,MA,US
01525,Linwood,MA,US
01526,Manchaug,MA,US
01527,Millbury,MA,US
01529,Millville,MA,US
01531,New Braintree,MA,US
01532,Northborough,MA,US
01534,Northbridge,MA,US
01535,North Brookfield,MA,US
01536,North Grafton,MA,US
01537,North Oxford,MA,US
01538,North Uxbridge,MA,US
01540,Oxford,MA,US
01541,Princeton,MA,US
01542,Rochdale,MA,US
01543,Rutland,MA,US
01545,Shrewsbury,MA,US
01546,Shrewsbury,MA,US
01550,Southbridge,MA,US
01560,South Grafton,MA,US
01561,South Lancaster,MA,US
01562,Spencer,MA,US
01564,Sterling,MA,US
01566,Sturbridge,MA,US
01568,Upton,MA,US
01569,Uxbridge,MA,US
01570,Webster,MA,US
01571,Dudley,MA,US
01580,Westborough,MA,US
01581,Westborough,MA,US
01582,Westborough,MA,US
01583,West Boylston,MA,US
01585,West Brookfield,MA,US
01586,West Millbury,MA,US
01588,Whitinsville,MA,US
01590,Sutton,MA,US
01601,Worcester,MA,US
01602,Worcester,MA,US
01603,Worcester,MA,US
01604,Worcester,MA,US
01605,Worcester,MA,US
01606,Worcester,MA,US
01607,Worcester,MA,US
01608,Worcester,MA,US
01609,Worcester,MA,US
01610,Worcester,MA,US
01611,Cherry Valley,MA,US
01612,Paxton,MA,US
01613,Worcester,MA,US
01614,Worcester,MA,US
01615,Worcester,MA,US
01653,Worcester,MA,US
01654,Worcester,MA,US
01655,Worcester,MA,US
01701,Framingham,MA,US
01702,Framingham,MA,US
01703,Framingham,MA,US
01704,Framingham,MA,US
01705,Framingham,MA,US
01718,Acton,MA,US
01719,Boxborough,MA,US
01720,Acton,MA,US
01721,Ashland,MA,US
01730,Bedford,MA,US
01731,Hanscom AFB,MA,US
01740,Bolton,MA,US
01741,Carlisle,MA,US
01742,Concord,MA,US
01745,Fayville,MA,US
01746,Holliston,MA,US
01747,Hopedale,MA,US
01748,Hopkinton,MA,US
01749,Hudson,MA,US
01752,Marlborough,MA,US
01754,Maynard,MA,US
01756,Mendon,MA,US
01757,Milford,MA,US
01760,Natick,MA,US
01770,Sherborn,MA,US
01772,Southborough,MA,US
01773,Lincoln,MA,US
01775,Stow,MA,US
01776,Sudbury,MA,US
01778,Wayland,MA,US
01784,Woodville,MA,US
01801,Woburn,MA,US
01803,Burlington,MA,US
01805,Burlington,MA,US
01806,Woburn,MA,US
01807,Woburn,MA,US
01808,Woburn,MA,US
01810,Andover,MA,US
01812,Andover,MA,US
01813,Woburn,MA,US
01815,Woburn,MA,US
01821,Billerica,MA,US
01822,Billerica,MA,US
01824,Chelmsford,MA,US
01826,Dracut,MA,US
01827,Dunstable,MA,US
01830,Haverhill,MA,US
01831,Haverhill,MA,US
01832,Haverhill,MA,US
01833,Georgetown,MA,US
01834,Groveland,MA,US
01835,Haverhill,MA,US
01840,Lawrence,MA,US
01841,Lawrence,MA,US
01842,Lawrence,MA,US
01843,Lawrence,MA,US
01844,Methuen,MA,US
01845,North Andover,MA,US
01850,Lowell,MA,US
01851,Lowell,MA,US
01852,Lowell,MA,US
01853,Lowell,MA,US
01854,Lowell,MA,US
01860,Merrimac,MA,US
01862,North Billerica,MA,US
01863,North Chelmsford,MA,US
01864,North Reading,MA,US
01865,Nutting Lake,MA,US
01866,Pinehurst,MA,US
01867,Reading,MA,US
01876,Tewksbury,MA,US
01879,Tyngsboro,MA,US
01880,Wakefield,MA,US
01885,West Boxford,MA,US
01886,Westford,MA,US
01887,Wilmington,MA,US
01888,Woburn,MA,US
01889,North Reading,MA,US
01890,Winchester,MA,US
01899,Andover,MA,US
01901,Lynn,MA,US
01902,Lynn,MA,US
01903,Lynn,MA,US
01904,Lynn,MA,US
01905,Lynn,MA,US
01906,Saugus,MA,US
01907,Swampscott,MA,US
01908,Nahant,MA,US
01910,Lynn,MA,US
01913,Amesbury,MA,US
01915,Beverly,MA,US
01921,Boxford,MA,US
01922,Byfield,MA,US
01923,Danvers,MA,US
01929,Essex,MA,US
01930,Gloucester,MA,US
01931,Gloucester,MA,US
01936,Hamilton,MA,US
01937,Hathorne,MA,US
01938,Ipswich,MA,US
01940,Lynnfield,MA,US
01944,Manchester,MA,US
01945,Marblehead,MA,US
01949,Middleton,MA,US
